[186] train-err:0.139800 train-nlik:0.561480 valid-err:0.139000 valid-nlik:0.560772 test-err:0.133800 test-nlik:0.550104
[187] train-err:0.140280 train-nlik:0.561936 valid-err:0.139400 valid-nlik:0.561123 test-err:0.133600 test-nlik:0.550666
[188] train-err:0.140040 train-nlik:0.561904 valid-err:0.139200 valid-nlik:0.561081 test-err:0.133100 test-nlik:0.550635
[189] train-err:0.139800 train-nlik:0.561985 valid-err:0.139300 valid-nlik:0.561179 test-err:0.132800 test-nlik:0.550581
[190] train-err:0.139640 train-nlik:0.562739 valid-err:0.139800 valid-nlik:0.561983 test-err:0.132800 test-nlik:0.551327
[191] train-err:0.139860 train-nlik:0.562843 valid-err:0.139400 valid-nlik:0.562021 test-err:0.133000 test-nlik:0.551383
[192] train-err:0.139880 train-nlik:0.563127 valid-err:0.139500 valid-nlik:0.562304 test-err:0.133200 test-nlik:0.551582
[193] train-err:0.139860 train-nlik:0.563215 valid-err:0.139700 valid-nlik:0.562352 test-err:0.133800 test-nlik:0.551692
[194] train-err:0.139560 train-nlik:0.563089 valid-err:0.139800 valid-nlik:0.562177 test-err:0.133900 test-nlik:0.551631
[195] train-err:0.139480 train-nlik:0.563681 valid-err:0.139800 valid-nlik:0.562658 test-err:0.133800 test-nlik:0.552353
[196] train-err:0.139240 train-nlik:0.563931 valid-err:0.139700 valid-nlik:0.562913 test-err:0.133500 test-nlik:0.552694
[197] train-err:0.139400 train-nlik:0.564280 valid-err:0.139500 valid-nlik:0.563262 test-err:0.133600 test-nlik:0.553098
[198] train-err:0.139200 train-nlik:0.564065 valid-err:0.138800 valid-nlik:0.562987 test-err:0.133100 test-nlik:0.552792
[199] train-err:0.139320 train-nlik:0.563963 valid-err:0.138600 valid-nlik:0.562856 test-err:0.133000 test-nlik:0.552690
[200] train-err:0.139220 train-nlik:0.564208 valid-err:0.138500 valid-nlik:0.563119 test-err:0.132800 test-nlik:0.552969
[201] train-err:0.139480 train-nlik:0.564404 valid-err:0.139000 valid-nlik:0.563324 test-err:0.133400 test-nlik:0.553121
[202] train-err:0.139260 train-nlik:0.564380 valid-err:0.139000 valid-nlik:0.563314 test-err:0.133100 test-nlik:0.553105
[203] train-err:0.139360 train-nlik:0.564783 valid-err:0.139200 valid-nlik:0.563730 test-err:0.133300 test-nlik:0.553528
[204] train-err:0.139740 train-nlik:0.565102 valid-err:0.139200 valid-nlik:0.564030 test-err:0.133800 test-nlik:0.553871
[205] train-err:0.139680 train-nlik:0.565124 valid-err:0.139400 valid-nlik:0.564064 test-err:0.134000 test-nlik:0.553908
[206] train-err:0.139660 train-nlik:0.564953 valid-err:0.139200 valid-nlik:0.563924 test-err:0.134300 test-nlik:0.553636
[207] train-err:0.139760 train-nlik:0.565060 valid-err:0.139500 valid-nlik:0.564035 test-err:0.134400 test-nlik:0.553720
[208] train-err:0.139700 train-nlik:0.565283 valid-err:0.139400 valid-nlik:0.564278 test-err:0.134400 test-nlik:0.554038
[209] train-err:0.139680 train-nlik:0.565537 valid-err:0.139800 valid-nlik:0.564548 test-err:0.134300 test-nlik:0.554227
[210] train-err:0.139500 train-nlik:0.565487 valid-err:0.139000 valid-nlik:0.564480 test-err:0.134300 test-nlik:0.554166
[211] train-err:0.139560 train-nlik:0.565606 valid-err:0.139900 valid-nlik:0.564611 test-err:0.134600 test-nlik:0.554302
[212] train-err:0.139520 train-nlik:0.565476 valid-err:0.139900 valid-nlik:0.564492 test-err:0.134500 test-nlik:0.554202
[213] train-err:0.139220 train-nlik:0.564948 valid-err:0.139000 valid-nlik:0.563991 test-err:0.134200 test-nlik:0.553694
[214] train-err:0.138940 train-nlik:0.564594 valid-err:0.138700 valid-nlik:0.563690 test-err:0.134200 test-nlik:0.553369
