[189] train-err:0.067920 train-nlik:0.255249 valid-err:0.071400 valid-nlik:0.264013 test-err:0.068800 test-nlik:0.253739
[190] train-err:0.067740 train-nlik:0.254831 valid-err:0.071300 valid-nlik:0.263649 test-err:0.068600 test-nlik:0.253345
[191] train-err:0.067640 train-nlik:0.254420 valid-err:0.070900 valid-nlik:0.263292 test-err:0.068600 test-nlik:0.252958
[192] train-err:0.067560 train-nlik:0.254005 valid-err:0.070900 valid-nlik:0.262930 test-err:0.068600 test-nlik:0.252572
[193] train-err:0.067520 train-nlik:0.253590 valid-err:0.070600 valid-nlik:0.262569 test-err:0.068600 test-nlik:0.252182
[194] train-err:0.067340 train-nlik:0.253182 valid-err:0.070600 valid-nlik:0.262208 test-err:0.068600 test-nlik:0.251803
[195] train-err:0.067180 train-nlik:0.252769 valid-err:0.070500 valid-nlik:0.261835 test-err:0.068400 test-nlik:0.251415
[196] train-err:0.067060 train-nlik:0.252362 valid-err:0.070400 valid-nlik:0.261472 test-err:0.068300 test-nlik:0.251037
[197] train-err:0.067000 train-nlik:0.251955 valid-err:0.070300 valid-nlik:0.261112 test-err:0.068200 test-nlik:0.250668
[198] train-err:0.066760 train-nlik:0.251550 valid-err:0.070200 valid-nlik:0.260745 test-err:0.068000 test-nlik:0.250293
[199] train-err:0.066660 train-nlik:0.251148 valid-err:0.070100 valid-nlik:0.260377 test-err:0.068000 test-nlik:0.249920
[200] train-err:0.066640 train-nlik:0.250743 valid-err:0.069700 valid-nlik:0.260008 test-err:0.067700 test-nlik:0.249545
[201] train-err:0.066540 train-nlik:0.250332 valid-err:0.069800 valid-nlik:0.259640 test-err:0.067300 test-nlik:0.249165
[202] train-err:0.066400 train-nlik:0.249930 valid-err:0.069600 valid-nlik:0.259283 test-err:0.067100 test-nlik:0.248793
[203] train-err:0.066280 train-nlik:0.249525 valid-err:0.069500 valid-nlik:0.258922 test-err:0.067000 test-nlik:0.248418
[204] train-err:0.066200 train-nlik:0.249121 valid-err:0.069700 valid-nlik:0.258566 test-err:0.066900 test-nlik:0.248048
[205] train-err:0.066100 train-nlik:0.248721 valid-err:0.069700 valid-nlik:0.258219 test-err:0.067100 test-nlik:0.247687
[206] train-err:0.066020 train-nlik:0.248327 valid-err:0.069600 valid-nlik:0.257863 test-err:0.066800 test-nlik:0.247333
[207] train-err:0.065900 train-nlik:0.247943 valid-err:0.069400 valid-nlik:0.257514 test-err:0.066700 test-nlik:0.246995
[208] train-err:0.065760 train-nlik:0.247562 valid-err:0.069300 valid-nlik:0.257167 test-err:0.066600 test-nlik:0.246661
[209] train-err:0.065560 train-nlik:0.247175 valid-err:0.069200 valid-nlik:0.256810 test-err:0.066600 test-nlik:0.246317
[210] train-err:0.065460 train-nlik:0.246793 valid-err:0.069000 valid-nlik:0.256448 test-err:0.066300 test-nlik:0.245967
[211] train-err:0.065340 train-nlik:0.246419 valid-err:0.068700 valid-nlik:0.256106 test-err:0.066100 test-nlik:0.245623
[212] train-err:0.065220 train-nlik:0.246046 valid-err:0.068600 valid-nlik:0.255765 test-err:0.065900 test-nlik:0.245274
[213] train-err:0.065160 train-nlik:0.245678 valid-err:0.068500 valid-nlik:0.255431 test-err:0.065900 test-nlik:0.244929
[214] train-err:0.065040 train-nlik:0.245310 valid-err:0.068300 valid-nlik:0.255093 test-err:0.065800 test-nlik:0.244583
